,name,co_type,co_hq,No_employee,ratings,reviews,year_old
419,Renault Nissan T...,Chennai + 11 more,5k-10k Employees (India),,3.8,1k,
420,Foxconn,Private,Taipei + 28 more,10k-50k Employees (India),4.1,1k,48 years old
421,Uflex,Public,"Noida,Uttar Pradesh + 32 more",1k-5k Employees (India),3.8,1.1k,39 years old
422,Square Yards,Private,"Gurgaon,Haryana + 35 more",1k-5k Employees (India),3.0,1k,9 years old
423,RMSI,Private,"Noida,Uttar Pradesh + 11 more",1k-5k Employees (India),3.8,1k,30 years old
424,ITC Hotels,Public,"Kolkata,West Bengal + 66 more",5k-10k Employees (India),4.1,1k,47 years old
425,Ninjacart,Private,"Bangalore,Karnataka + 70 more",1k-5k Employees (India),3.7,1k,7 years old
426,Dr Lal PathLabs,Public,"Gurgaon/Gurugram,Haryana + 115 more",1k-5k Employees (India),4.2,1k,73 years old
427,AECOM,Private,Dallas + 89 more,1k-5k Employees (India),4.2,1k,32 years old
428,Tata Play,Public,"Mumbai,Maharashtra + 156 more",1k-5k Employees (India),4.2,1k,16 years old
429,Dainik Bhaskar G...,Public,"Bhopal,Madhya Pradesh + 110 more",5k-10k Employees (India),4.1,1k,64 years old
430,Panasonic,Private,"Kadoma,Osaka + 107 more",10k-50k Employees (India),4.1,2k,104 years old
431,Dell EMC,Private,Hopkinton + 46 more,10k-50k Employees (India),4.3,1k,43 years old
432,Bharat Financial...,Public,Hyderabad + 237 more,10k-50k Employees (India),4.2,1k,24 years old
433,Honeywell Automa...,Public,"Morris Plains,New Jersey + 48 more",10k-50k Employees (India),4.0,1k,116 years old
