,name,co_type,co_hq,No_employee,ratings,reviews,year_old
18,HDB Financial Se...,Private,"Ahmedabad,Gujrat + 741 more",1 Lakh+ Employees (India),4.0,12.5k,15 years old
19,Teleperformance,Private,Paris + 117 more,50k-1 Lakh Employees (India),3.6,13.4k,44 years old
20,Kotak Mahindra B...,Public,"Mumbai,Maharashtra + 464 more",50k-1 Lakh Employees (India),3.9,12.9k,19 years old
21,Bharti Airtel,Public,"Gurgaon/Gurugram,Haryana + 481 more",10k-50k Employees (India),4.1,11k,27 years old
22,Reliance Industr...,Public,"Navi Mumbai,Maharashtra + 447 more",1 Lakh+ Employees (India),4.1,39.6k,49 years old
23,Deloitte,Private,"New York,New York + 131 more",50k-1 Lakh Employees (India),4.1,9.6k,177 years old
24,Tata Motors,Public,"Pune,Maharashtra + 381 more",10k-50k Employees (India),4.0,11.3k,77 years old
25,Reliance Retail,Private,"Navi Mumbai,Maharashtra + 568 more",1 Lakh+ Employees (India),4.1,13.7k,16 years old
26,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 396 more",1 Lakh+ Employees (India),4.2,7.4k,77 years old
27,WNS,Private,"Mumbai,Maharashtra + 21 more",10k-50k Employees (India),3.7,6.5k,26 years old
28,IndusInd Bank,Public,"Gurgaon/Gurugram,Haryana + 542 more",10k-50k Employees (India),3.8,6.5k,28 years old
29,Flipkart,Public,"Bangalore,Karnataka + 408 more",50k-1 Lakh Employees (India),4.2,10.1k,15 years old
30,DXC Technology,Public,"Minato,Tokyo + 55 more",10k-50k Employees (India),3.9,6.8k,5 years old
31,Hinduja Global S...,Public,"Bangalore/Bengaluru,Karnataka + 74 more",10k-50k Employees (India),4.0,5.9k,22 years old
32,Ernst & Young,Private,London + 70 more,50k-1 Lakh Employees (India),3.9,7k,20 years old
33,Maruti Suzuki,Public,"New Delhi,Delhi + 372 more",10k-50k Employees (India),4.1,5.6k,39 years old
34,Infosys BPM,"Bangalore/Bengaluru,Karnataka + 45 more",20 years old,,4.0,5.5k,10k-50k Employees (India)
35,BYJU'S,Private,"Bangalore,Karnataka + 161 more",1k-5k Employees (India),3.6,9.8k,11 years old
36,HSBC,Private,"Pune,Maharashtra + 53 more",10k-50k Employees (India),4.1,5.6k,20 years old
37,Ericsson,Private,"Stockholm,Stockholm County + 129 more",10k-50k Employees (India),4.3,5.2k,146 years old
38,Bajaj Finserv,Public,"Pune,Maharashtra + 636 more",10k-50k Employees (India),4.1,12.7k,15 years old
39,Conneqt Business...,Private,"Mumbai,Maharashtra + 151 more",10k-50k Employees (India),3.8,4.8k,20 years old
40,IDFC FIRST Bank,Public,"Mumbai,Maharashtra + 361 more",10k-50k Employees (India),4.0,4.8k,4 years old
41,Dr. Reddy's,Public,"Hyderabad/Secunderabad,Telangana + 128 more",10k-50k Employees (India),4.2,4.8k,36 years old
42,Startek,Public,"Mumbai,Maharashtra + 50 more",5k-10k Employees (India),3.5,4.6k,5 years old
43,Mphasis,Public,"Bangalore/Bengaluru,Karnataka + 41 more",10k-50k Employees (India),3.8,4.6k,24 years old
44,Sutherland Globa...,Private,"Pittsford,New York + 41 more",10k-50k Employees (India),3.9,4.9k,36 years old
45,Jana Small Finan...,Public,"Bangalore/Bengaluru,Karnataka + 303 more",10k-50k Employees (India),3.9,4.5k,16 years old
46,Cipla Pharmaceut...,Public,"Mumbai,Maharashtra + 185 more",10k-50k Employees (India),4.1,4.6k,87 years old
47,Yes Bank,Public,"Mumbai,Maharashtra + 352 more",10k-50k Employees (India),4.0,4.4k,18 years old
48,ICICI Prudential...,Public,"Mumbai,Maharashtra + 397 more",10k-50k Employees (India),4.1,4.3k,22 years old
49,HCL Group,Chennai + 68 more,50k-1 Lakh Employees (India),,3.9,22.5k,
50,Asian Paints,Public,"Mumbai,Maharashtra + 331 more",10k-50k Employees (India),4.3,4.5k,80 years old
51,Zydus Cadila,Public,"Ahmedabad, India + 134 more",10k-50k Employees (India),4.2,4.9k,70 years old
52,NTT DATA,Private,"Chiyoda City,Tokyo + 38 more",10k-50k Employees (India),4.0,4.4k,34 years old
53,Udaan,Private,"Bangalore,Karnataka + 295 more",1k-5k Employees (India),4.2,4k,6 years old
54,Indian Army,Public,"New Delhi,Delhi + 264 more",1 Lakh+ Employees (India),4.7,4k,127 years old
55,HDFC Life,Public,"Mumbai,Maharashtra + 396 more",10k-50k Employees (India),4.0,5.3k,22 years old
56,EXL Service,Private,"New York City,New York + 30 more",10k-50k Employees (India),3.9,4.9k,23 years old
57,Home Credit Fina...,Private,Gurugram + 101 more,5k-10k Employees (India),4.2,3.9k,10 years old
58,L&T Infotech,Public,"Mumbai,Maharashtra + 78 more",10k-50k Employees (India),3.9,3.7k,26 years old
59,PwC,Partnership,London + 59 more,10k-50k Employees (India),3.8,3.7k,24 years old
60,Lupin,Public,"Mumbai,Maharashtra + 120 more",10k-50k Employees (India),4.1,3.7k,54 years old
61,Bajaj Finance,Private,"Pune,Maharashtra + 591 more",10k-50k Employees (India),4.2,4.1k,35 years old
62,UltraTech Cement,Public,"Mumbai,Maharashtra + 325 more",10k-50k Employees (India),4.3,4.2k,39 years old
63,Hindustan Unilev...,Public,"Mumbai,Maharashtra + 343 more",10k-50k Employees (India),4.3,4.2k,89 years old
64,Bajaj Allianz Li...,Private,Pune + 419 more,10k-50k Employees (India),4.2,3.6k,21 years old
65,ITC,Public,"Kolkata,West Bengal + 220 more",10k-50k Employees (India),3.9,6.8k,47 years old
66,Ujjivan Small Fi...,Public,"Bangalore/Bengaluru,Karnataka + 377 more",10k-50k Employees (India),4.1,3.6k,5 years old
67,OPPO,Public,"Dongguan,Guangdong + 307 more",10k-50k Employees (India),4.0,3.7k,18 years old
68,One97 Communicat...,Noida + 227 more,,,3.7,3.4k,
69,Shapoorji Pallon...,Private,"Mumbai,Maharashtra + 133 more",5k-10k Employees (India),4.3,6.3k,157 years old
70,Mindtree,Public,"Bangalore/Bengaluru,Karnataka + 25 more",10k-50k Employees (India),4.1,3.4k,23 years old
71,KPMG,Partnership,New York + 49 more,10k-50k Employees (India),3.8,3.5k,35 years old
72,IIFL,Public,"Mumbai,Maharashtra + 448 more",10k-50k Employees (India),3.9,3.4k,27 years old
73,JP Morgan Chase,Private,"New York,New York + 20 more",10k-50k Employees (India),4.2,3.4k,22 years old
74,Ashok Leyland,Public,"Chennai,Tamil Nadu + 183 more",10k-50k Employees (India),4.1,3.4k,74 years old
75,Shriram Transpor...,Public,"Mumbai,Maharashtra + 645 more",10k-50k Employees (India),4.2,3.7k,43 years old
76,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 548 more",10k-50k Employees (India),4.3,4.8k,31 years old
77,Sun Pharmaceutic...,Public,Mumbai + 141 more,10k-50k Employees (India),4.1,3.8k,39 years old
78,Intelenet Global...,Private,"Mumbai,Maharashtra + 57 more",10k-50k Employees (India),3.7,3.3k,22 years old
79,Aurobindo Pharma,Public,"Hyderabad/Secunderabad,Telangana + 51 more",10k-50k Employees (India),4.1,3.5k,36 years old
80,Vivo,Private,"Gurgaon/Gurugram,Haryana + 322 more",5k-10k Employees (India),4.1,3.2k,13 years old
81,Hewlett-Packard ...,Private,"Houston,Texas + 86 more",10k-50k Employees (India),4.3,3.5k,7 years old
82,Reliance Communi...,Public,"Navi Mumbai,Maharashtra + 363 more",10k-50k Employees (India),4.0,4k,20 years old
83,Apollo Hospitals,Public,"San Francisco,California + 160 more",50k-1 Lakh Employees (India),4.1,5.1k,39 years old
84,Wells Fargo Indi...,Public,"San Francisco,California + 10 more",10k-50k Employees (India),4.2,3.2k,170 years old
85,Fidelity Nationa...,Private,"Jacksonville,Florida + 32 more",10k-50k Employees (India),4.1,3.3k,54 years old
86,Future Group,Private,"Mumbai,Maharashtra + 196 more",50k-1 Lakh Employees (India),4.2,10k,9 years old
87,Siemens,Public,"Munich,Bavaria + 104 more",10k-50k Employees (India),4.2,3.2k,175 years old
88,Nokia,Private,"Espoo,Southern Finland + 166 more",10k-50k Employees (India),4.2,4.4k,157 years old
89,Bandhan Bank,Public,"Kolkata,West Bengal + 507 more",50k-1 Lakh Employees (India),3.9,3.2k,21 years old
90,eClerx,Public,"Mumbai,Maharashtra + 15 more",5k-10k Employees (India),3.7,3k,22 years old
91,Delhivery,Private,"Delhi,NCT + 441 more",10k-50k Employees (India),4.2,3.4k,11 years old
92,Max Life Insuran...,JV,"Gurgaon/Gurugram,Haryana + 274 more",10k-50k Employees (India),4.2,3k,22 years old
93,Wipro BPS,Bengaluru + 38 more,22 years old,,3.8,2.9k,1 Lakh+ Employees (India)
94,AU Small Finance...,Private,"Jaipur,Rajasthan + 282 more",10k-50k Employees (India),4.1,3.9k,26 years old
95,TVS Motor,Public,"Chennai,Tamil Nadu + 235 more",10k-50k Employees (India),4.1,3.1k,43 years old
96,First Source,Public,"Mumbai,Maharashtra + 44 more",10k-50k Employees (India),3.9,2.9k,21 years old
97,Tata Projects,Public,"Mumbai,Maharashtra + 191 more",10k-50k Employees (India),4.2,3k,43 years old
98,Oyo Rooms,Private,"Gurgaon,Haryana + 102 more",1k-5k Employees (India),3.5,3.1k,9 years old
99,Oracle,Public,"Austin,Texas + 31 more",50k-1 Lakh Employees (India),3.9,3.6k,45 years old
100,Hero MotoCorp,Public,"Gurgaon/Gurugram,Haryana + 261 more",5k-10k Employees (India),4.3,3k,38 years old
101,JLL,Private,"Mumbai,Maharashtra + 59 more",10k-50k Employees (India),4.3,2.9k,25 years old
102,Cyient,Public,"Hyderabad/Secunderabad,Telangana + 25 more",10k-50k Employees (India),3.7,2.8k,31 years old
103,Hexaware Technol...,Public,"Mumbai,Maharashtra + 30 more",10k-50k Employees (India),3.8,2.9k,32 years old
104,JSW Steel,Public,"Mumbai,Maharashtra + 89 more",10k-50k Employees (India),3.9,3.1k,40 years old
105,TATA Steel,Public,"Mumbai,Maharashtra + 120 more",10k-50k Employees (India),4.1,4.4k,115 years old
106,Hyundai Motor,Private,Seoul + 218 more,10k-50k Employees (India),4.1,3.8k,55 years old
107,Bosch,Public,"Gerlingen,Baden-Wuerttemberg + 83 more",10k-50k Employees (India),4.3,6k,136 years old
108,JustDial,Public,"Mumbai,Maharashtra + 122 more",10k-50k Employees (India),3.6,2.7k,26 years old
109,Atos Syntel,Private,"Troy,Michigan + 14 more",10k-50k Employees (India),3.8,4.3k,42 years old
110,Samsung,Public,Seoul + 346 more,10k-50k Employees (India),4.0,7.2k,84 years old
111,iEnergizer,Private,"Noida,Uttar Pradesh + 14 more",5k-10k Employees (India),3.5,2.6k,22 years old
112,Quess,Public,Bangalore + 309 more,10k-50k Employees (India),3.9,7.8k,15 years old
113,Megha Engineerin...,Private,"Hyderabad/Secunderabad,Telangana + 189 more",1k-5k Employees (India),4.2,2.6k,33 years old
114,Viatris,"Canonsburg,Pennsylvania + 61 more",61 years old,,4.3,2.5k,10k-50k Employees (India)
115,BNY Mellon,Private,"New York City,New York + 9 more",10k-50k Employees (India),4.2,2.5k,18 years old
116,L&T Construction,Public,Chennai + 254 more,10k-50k Employees (India),4.2,3.4k,78 years old
117,Omega Healthcare,Private,Florida + 27 more,5k-10k Employees (India),3.8,2.5k,18 years old
118,SBI Cards & Paym...,Government,"Gurgaon/Gurugram,Haryana + 231 more",10k-50k Employees (India),3.8,2.4k,24 years old
119,Fullerton India,Private,Mumbai + 390 more,10k-50k Employees (India),4.2,2.4k,15 years old
120,UnitedHealth,Private,"Minnetonka,Minnesota + 11 more",10k-50k Employees (India),4.2,4.3k,45 years old
121,Aditya Birla Fas...,Private,Mumbai + 194 more,10k-50k Employees (India),4.3,4k,7 years old
122,Cummins,"Columbus,Indiana + 81 more",60 years old,,4.4,3k,10k-50k Employees (India)
123,Manappuram Finan...,Public,"Thrissur/Trichur,Kerala + 360 more",10k-50k Employees (India),4.0,3.1k,73 years old
124,Godrej & Boyce M...,Private,"Mumbai,Maharashtra + 115 more",10k-50k Employees (India),3.9,2.7k,125 years old
125,D Mart,Private,"Mumbai,Maharashtra + 153 more",10k-50k Employees (India),4.0,2.4k,22 years old
126,IQVIA,Partnership,Durham + 38 more,10k-50k Employees (India),4.2,2.5k,40 years old
127,Axis Direct,Private,"San Mateo,California + 265 more",1k-5k Employees (India),4.0,2.4k,11 years old
128,Dominos Pizza,Public,"Ypsilanti,Michigan + 200 more",1k-5k Employees (India),4.1,2.3k,62 years old
129,CBRE,Private,"Los Angeles,California + 52 more",10k-50k Employees (India),4.3,2.3k,116 years old
130,Wipro Consumer ...,Private,"Bangalore/Bengaluru,Karnataka + 70 more",1k-5k Employees (India),3.9,28.5k,77 years old
131,Equitas Small Fi...,Private,"Chennai,Tamil Nadu + 285 more",10k-50k Employees (India),4.2,2.3k,15 years old
132,Royal Enfield,Private,"Gurgaon/Gurugram,Haryana + 228 more",1k-5k Employees (India),4.2,2.3k,67 years old
133,Wipro Infotech,Private,Bangalore + 116 more,1 Lakh+ Employees (Global),4.0,2.3k,77 years old
134,Nagarjuna Constr...,Public,"Hyderabad/Secunderabad,Telangana + 173 more",1k-5k Employees (India),4.2,2.4k,24 years old
135,JBM Group,Public,"Gurgaon/Gurugram,Haryana + 73 more",10k-50k Employees (India),4.1,2.8k,39 years old
136,Nagarro,Private,"Munich,Bavaria + 29 more",10k-50k Employees (India),4.6,2.4k,26 years old
137,State Bank of In...,"Mumbai,Maharashtra + 333 more",216 years old,,3.9,4.4k,1 Lakh+ Employees (India)
138,Schneider Electr...,Private,Paris + 78 more,10k-50k Employees (India),4.2,3.8k,23 years old
139,Tata Communicati...,Public,"Mumbai,Maharashtra + 87 more",10k-50k Employees (India),4.2,3k,36 years old
140,ICICI Lombard Ge...,Public,"Mumbai,Maharashtra + 193 more",10k-50k Employees (India),3.9,2.2k,21 years old
141,Bajaj Auto,Public,"Pune,Maharashtra + 197 more",5k-10k Employees (India),4.1,6.3k,77 years old
142,Amdocs,Private,"Chesterfield,Missouri + 12 more",10k-50k Employees (India),4.1,2.2k,40 years old
143,UST,Private,"Aliso Viejo,California + 32 more",10k-50k Employees (India),4.1,2.4k,21 years old
144,Muthoot Fincorp,Private,"Trivandrum/Thiruvananthapuram,Kerala + 411 more",10k-50k Employees (India),4.0,2.2k,135 years old
145,Bosch Global Sof...,Private,Gerlingen + 19 more,10k-50k Employees (India),4.2,2.2k,23 years old
146,Flex,Private,San Jose + 35 more,10k-50k Employees (India),4.2,2.2k,53 years old
147,LG Electronics,Public,"Seoul,Seoul + 183 more",10k-50k Employees (India),4.1,2.2k,64 years old
148,John Deere,Private,"Moline,Illinois + 95 more",5k-10k Employees (India),4.4,2.4k,21 years old
149,Dell,Private,"Round Rock,Texas + 82 more",10k-50k Employees (India),4.2,3.5k,38 years old
150,Ford Motor,Public,"Dearborn,Michigan + 101 more",10k-50k Employees (India),4.5,2.5k,119 years old
151,Whitehat jr,Private,"Mumbai,Maharashtra + 44 more",5k-10k Employees (India),3.8,2.1k,4 years old
152,L&T Financial Se...,Public,"Mumbai,Maharashtra + 372 more",10k-50k Employees (India),4.0,2.1k,28 years old
153,Hetero Drugs,Private,"Hyderabad/Secunderabad,Telangana + 31 more",1k-5k Employees (India),4.0,2.5k,29 years old
154,Ecom Express,Private,"Gurgaon,Haryana + 454 more",10k-50k Employees (India),4.3,2.1k,10 years old
155,Sodexo,Private,Issy Les Moulineaux + 105 more,5k-10k Employees (India),4.1,2.3k,14 years old
156,Indiamart Interm...,Private,"Noida,Uttar Pradesh + 97 more",10k-50k Employees (India),3.8,2.2k,26 years old
157,SBI Life Insuran...,Government,"Mumbai,Maharashtra + 406 more",10k-50k Employees (India),3.8,2.1k,21 years old
158,KEC Internationa...,Public,"Mumbai,Maharashtra + 201 more",5k-10k Employees (India),4.2,2.1k,77 years old
159,Abbott Healthcar...,Public,"Illinois City,Illinois + 138 more",10k-50k Employees (India),4.2,3.4k,31 years old
160,Cholamandalam In...,Private,"Chennai,Tamil Nadu + 465 more",5k-10k Employees (India),4.3,2.1k,44 years old
161,Motherson Sumi S...,Public,"Noida,Uttar Pradesh + 61 more",5k-10k Employees (India),3.9,3.4k,36 years old
162,Capgemini Techno...,Bengaluru/Bangalore + 24 more,,,4.1,2.1k,
163,GlobalLogic,Private,"San Jose,California + 25 more",1k-5k Employees (India),4.0,2k,22 years old
164,Hindustan Coca C...,Private,Bangalore + 164 more,5k-10k Employees (India),4.4,2k,25 years old
165,Simplex Infrastr...,Public,"Kolkata,West Bengal + 121 more",1k-5k Employees (India),3.7,2.2k,98 years old
166,Thermax,Public,"Pune,Maharashtra + 117 more",1k-5k Employees (India),4.3,2.3k,42 years old
167,Intas Pharmaceut...,Private,"Ahmedabad,Gujrat + 97 more",10k-50k Employees (India),4.3,2k,22 years old
168,Subros,Public,"Noida,Uttar Pradesh + 32 more",1k-5k Employees (India),4.0,2k,37 years old
169,Muthoot Group,Public,"Wedel,Schleswig-holstein + 320 more",1k-5k Employees (India),3.7,4.4k,135 years old
170,Wipro Enterprise...,Bangalore + 65 more,77 years old,,3.9,30.5k,1 Lakh+ Employees (India)
171,Gati kwe,Private,"Hyderabad/Secunderabad,Telangana + 143 more",5k-10k Employees (India),4.1,2k,10 years old
172,Arvind Group,Public,"Ahmedabad,Gujrat + 128 more",10k-50k Employees (India),4.1,2.4k,91 years old
173,Muthoot Finance,Public,"Kochi/Cochin,Kerala + 381 more",10k-50k Employees (India),3.6,2k,83 years old
174,Automatic Data P...,New Jersey + 9 more,73 years old,,4.2,2k,1k-5k Employees (India)
175,VE Commercial Ve...,Private,"Gurgaon/Gurugram,Haryana + 102 more",1k-5k Employees (India),4.0,2k,14 years old
176,NatWest Group,Government,Chennai + 18 more,,4.1,2.2k,10k-50k Employees (India)
177,Varun Beverages,Public,"Gurgaon/Gurugram,Haryana + 184 more",10k-50k Employees (India),4.0,2k,27 years old
178,Atos,Private,"Vilnius,Vilniaus Apskritis + 31 more",10k-50k Employees (India),3.9,7.1k,25 years old
179,Shoppers Stop,Public,"Mumbai,Maharashtra + 53 more",5k-10k Employees (India),4.3,1.9k,31 years old
180,Macleods Pharmac...,Public,"Mumbai,Maharashtra + 73 more",5k-10k Employees (India),4.0,1.9k,36 years old
181,BigBasket,Private,"Bangalore,Karnataka + 72 more",5k-10k Employees (India),4.2,2k,11 years old
182,Alembic Pharmace...,Public,"Vadodara/Baroda,Gujrat + 116 more",10k-50k Employees (India),4.1,1.9k,115 years old
183,Indian Air Force,Private,"New Delhi,Delhi + 97 more",1 Lakh+ Employees (India),4.6,1.9k,90 years old
184,Suzlon Group,Public,"Pune,Maharashtra + 84 more",5k-10k Employees (India),4.2,1.9k,27 years old
185,Optum,Private,Minnesota + 19 more,10k-50k Employees (India),4.1,1.9k,45 years old
186,Virtusa Consulti...,Private,"Southborough,Massachusetts + 22 more",5k-10k Employees (India),3.8,1.9k,26 years old
187,American Express,Private,"New York City,New York + 34 more",10k-50k Employees (India),4.4,1.9k,172 years old
188,CMS IT Services,Private,"Bangalore,Karnataka + 115 more",5k-10k Employees (India),3.2,1.9k,8 years old
189,Glenmark Pharmac...,Public,"Mumbai,Maharashtra + 106 more",10k-50k Employees (India),4.2,1.9k,45 years old
190,Bel,Private,"Bangalore/Bengaluru,Karnataka + 29 more",5k-10k Employees (India),4.2,1.9k,68 years old
191,ABB Group,Public,Zurich + 85 more,10k-50k Employees (India),4.1,1.9k,21 years old
192,McDonald's,Private,"Chicago,Illinois + 117 more",5k-10k Employees (India),4.3,1.9k,67 years old
193,DTDC Express,Private,"Bangalore/Bengaluru,Karnataka + 185 more",5k-10k Employees (India),4.0,1.9k,32 years old
194,Swiggy,Private,"Bangalore,Karnataka + 129 more",10k-50k Employees (India),4.2,2.1k,8 years old
195,Randstad,Private,"Chennai,Tamil Nadu + 200 more",1k-5k Employees (India),4.1,1.9k,30 years old
196,Alkem Laboratori...,Public,"Mumbai,Maharashtra + 115 more",10k-50k Employees (India),4.1,1.9k,49 years old
197,Deutsche Bank,Private,Frankfurt + 29 more,10k-50k Employees (India),4.3,2.1k,152 years old
198,Cgi Group,Private,"Montreal,Quebec + 13 more",10k-50k Employees (India),4.2,2k,31 years old
199,Lava Internation...,Public,"Noida,Uttar Pradesh + 202 more",1k-5k Employees (India),4.2,1.9k,13 years old
200,Honda Motorcycle...,Private,"Gurgaon/Gurugram,Haryana + 163 more",1k-5k Employees (India),4.2,1.8k,23 years old
201,Standard Charter...,Private,London + 57 more,10k-50k Employees (India),4.2,5.4k,53 years old
202,Reliance Nippon ...,Private,"Mumbai,Maharashtra + 377 more",10k-50k Employees (India),3.9,1.8k,22 years old
203,Pidilite Industr...,Public,"Mumbai,Maharashtra + 169 more",5k-10k Employees (India),4.4,1.9k,63 years old
204,Havells,Public,"Noida,Uttar Pradesh + 119 more",5k-10k Employees (India),4.2,2k,39 years old
205,KocharTech,Private,"Gurgaon/Gurugram,Haryana + 20 more",1k-5k Employees (India),4.5,1.8k,27 years old
206,DCB Bank,Private,"Mumbai,Maharashtra + 233 more",5k-10k Employees (India),4.0,1.8k,92 years old
207,Ipca Laboratorie...,Public,"Mumbai,Maharashtra + 99 more",10k-50k Employees (India),4.1,1.8k,73 years old
208,Piramal Capital ...,Mumbai + 217 more,4 years old,,4.3,1.8k,1k-5k Employees (India)
209,Bajaj Electrical...,Public,"Mumbai,Maharashtra + 160 more",5k-10k Employees (India),4.1,1.8k,84 years old
210,Indian Oil Corpo...,Private,"Delhi/NCR,Delhi + 175 more",10k-50k Employees (India),4.4,2k,63 years old
211,Conduent,Private,"Florham Park,New Jersey + 19 more",5k-10k Employees (India),3.7,1.8k,5 years old
212,24/7 Customer,Private,"San Jose,California + 20 more",5k-10k Employees (India),3.6,1.8k,22 years old
213,Titan Company,Public,"Mumbai,Maharashtra + 120 more",5k-10k Employees (India),4.4,2.4k,4 years old
214,Future Retail,Public,"San Francisco,California + 185 more",10k-50k Employees (India),4.2,4.4k,35 years old
215,Maersk,Private,Copenhagen + 21 more,10k-50k Employees (India),4.4,2.2k,118 years old
216,Hindalco Industr...,Public,"Mumbai,Maharashtra + 64 more",10k-50k Employees (India),4.3,1.8k,64 years old
217,Tata Teleservice...,Public,"Mumbai,Maharashtra + 152 more",201-500 Employees (India),4.2,1.7k,26 years old
